date,mmwr_week,location,short_name,long_name,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,census2019,administered_moderna,administered_pfizer,administered_unk_manuf,ratio_admin_dist,skipped
2021-01-07,1,AK,AKA,Alaska,87325,21830,11937,2984,731545,4419,17402,9,0.25,No
2021-01-07,1,AL,ALA,Alabama,245100,48888,4999,997,4903185,19028,29860,0,0.199,No
2021-01-07,1,AR,ARA,Arkansas,212700,40899,7048,1355,3017804,9623,31275,1,0.192,No
2021-01-07,1,AS,ASA,American Samoa,8250,1161,14814,2085,55689,189,972,0,0.141,No
2021-01-07,1,AZ,AZA,Arizona,453275,88266,6227,1213,7278717,24158,64097,11,0.195,No
2021-01-07,1,BP2,BP2,Bureau of Prisons,12800,11137,0,0,0,3136,6940,1061,0.87,No
2021-01-07,1,CA,CAA,California,2314350,528173,5857,1337,39512223,130792,397381,0,0.228,No
2021-01-07,1,CO,COA,Colorado,361375,130445,6275,2265,5758736,60235,70200,10,0.361,No
2021-01-07,1,CT,CTA,Connecticut,219125,100889,6146,2830,3565287,60910,39979,0,0.46,No
2021-01-07,1,DC,DCA,District of Columbia,45950,19366,6511,2744,705749,3226,16140,0,0.421,No
2021-01-07,1,DD2,DD2,Dept of Defense,342625,82842,0,0,0,29709,52734,399,0.242,No
2021-01-07,1,DE,DEA,Delaware,64375,16677,6611,1713,973764,5002,11674,1,0.259,No
2021-01-07,1,FL,FLA,Florida,1355775,402802,6312,1875,21477737,204927,197817,58,0.297,No
2021-01-07,1,FM,FMA,Federated States of Micronesia,9800,100,9456,96,103643,100,0,0,0.01,No
2021-01-07,1,GA,GAA,Georgia,619250,103793,5832,978,10617423,35883,67885,25,0.168,No
2021-01-07,1,GU,GUA,Guam,19300,3791,11643,2287,165768,0,3791,0,0.196,No
2021-01-07,1,HI,HIA,Hawaii,95200,24558,6724,1734,1415872,5878,18680,0,0.258,No
2021-01-07,1,IA,IAA,Iowa,191675,74224,6075,2353,3155070,43728,30496,0,0.387,No
2021-01-07,1,ID,IDA,Idaho,104925,22822,5871,1277,1787065,8445,14367,10,0.218,No
2021-01-07,1,IH2,IH2,Indian Health Svc,182125,49960,0,0,0,24350,25610,0,0.274,No
2021-01-07,1,IL,ILA,Illinois,737125,213045,5817,1681,12671821,65383,147636,26,0.289,No
2021-01-07,1,IN,INA,Indiana,409625,123835,6085,1839,6732219,25175,98654,6,0.302,No
2021-01-07,1,KS,KSA,Kansas,191225,36538,6564,1254,2913314,16695,19843,0,0.191,No
2021-01-07,1,KY,KYA,Kentucky,244350,94443,5469,2114,4467673,57240,37202,1,0.387,No
2021-01-07,1,LA,LAA,Louisiana,298825,64664,6428,1391,4648794,13209,51381,74,0.216,No
2021-01-07,1,LTC,LTC,Long Term Care,3770425,603313,0,0,0,112029,485264,6020,0.16,No
